Date,Close,High,P_H,Low,P_L,Signal,NIKKEI_returns,strategy_returns
2018-05-22,22960.33984375,23031.669921875,23084.38310444558,22952.869140625,22944.106768120946,0,-0.0018271725237540837,0.0018271725237540837
2018-05-23,22689.740234375,22949.73046875,22936.999876900503,22649.849609375,22769.626147919447,0,-0.011785522828341777,-0.0
2018-05-24,22437.009765625,22644.689453125,22706.323084114803,22366.599609375,22517.1537607638,1,-0.01113853513259322,-0.0
2018-05-25,22450.7890625,22509.359375,22465.39898017779,22318.150390625,22275.044839426602,-1,0.0006141324988908625,0.0006141324988908625
2018-05-28,22481.08984375,22547.669921875,22558.22989867271,22410.91015625,22392.81234773062,0,0.0013496532868242372,-0.0013496532868242372
2018-05-29,22358.4296875,22439.099609375,22517.145858718744,22240.390625,22324.933517772606,1,-0.005456148127271576,-0.0
2018-05-30,22018.51953125,22079.23046875,22139.7499518427,21931.650390625,21896.227500042707,0,-0.015202774121477525,-0.015202774121477525
2018-05-31,22201.8203125,22254.419921875,22284.198600142954,22098.0,22053.10764352433,0,0.00832484586394866,0.0
2018-06-01,22171.349609375,22316.91015625,22228.314740173548,22098.0390625,21995.72197243153,-1,-0.0013724416600130462,-0.0
2018-06-04,22475.939453125,22515.720703125,22483.24087191291,22355.830078125,22275.627798070433,-1,0.01373799291050859,-0.01373799291050859
2018-06-05,22539.5390625,22602.130859375,22642.486798939583,22470.0390625,22460.243749581376,0,0.002829675240389351,-0.002829675240389351
2018-06-06,22625.73046875,22662.8203125,22609.90669155996,22498.58984375,22422.5269883106,-1,0.0038240092670485115,0.0
2018-06-07,22823.259765625,22856.369140625,22818.579075007405,22732.1796875,22671.66659222676,-1,0.008730294791932547,-0.008730294791932547
2018-06-08,22694.5,22879.0,22860.37466310666,22694.5,22709.218715326286,0,-0.005641602774855592,0.005641602774855592
2018-06-11,22804.0390625,22856.080078125,22773.470830029397,22667.30078125,22592.960963375233,-1,0.004826678820859742,0.0
2018-06-12,22878.349609375,23011.5703125,23046.349064606744,22797.73046875,22904.280746231452,1,0.0032586572348580756,-0.0032586572348580756
2018-06-13,22966.380859375,22993.259765625,22982.51140606549,22895.310546875,22812.64293430653,-1,0.00384779721890105,0.00384779721890105
2018-06-14,22738.609375,22898.390625,22903.003046721766,22738.609375,22728.792828535137,0,-0.009917604596460516,0.009917604596460516
2018-06-15,22851.75,22885.83984375,22982.336819800665,22770.380859375,22802.047731964885,1,0.004975705555872345,0.0
2018-06-18,22680.330078125,22806.890625,22887.67242617258,22601.130859375,22700.42550799036,1,-0.007501391441574468,-0.007501391441574468
2018-06-19,22278.48046875,22618.51953125,22657.3736339921,22278.48046875,22446.74829478393,1,-0.017717978882616947,-0.017717978882616947
2018-06-20,22555.4296875,22581.400390625,22459.788011615565,22167.16015625,22236.571833112277,0,0.012431243645116385,0.012431243645116385
2018-06-21,22693.0390625,22782.009765625,22582.40814728245,22491.080078125,22407.31288018067,-1,0.006100942296668466,0.0
2018-06-22,22516.830078125,22535.650390625,22512.161517107168,22414.1796875,22318.642379060435,-1,-0.007764891422858522,0.007764891422858522
2018-06-25,22338.150390625,22556.55078125,22629.424906997767,22312.7890625,22432.179399324847,1,-0.007935383749846148,0.007935383749846148
2018-06-26,22342.0,22368.779296875,22274.625954084073,22104.119140625,22017.23424930815,-1,0.00017233339858857555,0.00017233339858857555
2018-06-27,22271.76953125,22356.5390625,22405.20317922466,22205.33984375,22187.005058866478,0,-0.0031434280167397244,0.0031434280167397244
2018-06-28,22270.390625,22299.390625,22308.687365905076,22038.400390625,22060.636065401766,1,-6.191273881783754e-05,-0.0
2018-06-29,22304.509765625,22332.8203125,22420.456551168947,22145.48046875,22193.247989070198,1,0.001532040510627608,0.001532040510627608
2018-07-02,21811.9296875,22312.25,22340.315041983493,21784.48046875,22103.868728835303,1,-0.022084326591394032,-0.022084326591394032
2018-07-03,21785.5390625,21927.810546875,22063.64929880691,21574.560546875,21770.363459517226,1,-0.0012099170214694421,-0.0012099170214694421
2018-07-04,21717.0390625,21784.0,21820.541648121904,21604.1796875,21516.274013656086,0,-0.0031442875846900975,-0.0031442875846900975
2018-07-05,21546.990234375,21751.5,21834.780362432888,21462.94921875,21544.230628956648,1,-0.007830203170681393,-0.0
2018-07-06,21788.140625,21866.16015625,21818.333808810636,21642.9609375,21512.543834474753,-1,0.011191836446849956,0.011191836446849956
2018-07-09,22052.1796875,22105.94921875,21965.922894000258,21825.759765625,21701.683809720394,-1,0.0121184761492239,-0.0121184761492239
2018-07-10,22196.890625,22321.599609375,22326.29909088056,22196.890625,22111.133307275824,0,0.006562205620972206,-0.006562205620972206
2018-07-11,21932.2109375,22044.619140625,22105.678355350497,21744.25,21858.97640804925,1,-0.011924178569492794,-0.0
2018-07-12,22187.9609375,22233.51953125,22161.470161613273,22019.189453125,21921.80316222243,-1,0.011660931072057013,0.011660931072057013
2018-07-13,22597.349609375,22692.859375,22492.2958643023,22316.51953125,22308.279080627995,-1,0.01845093711081347,-0.01845093711081347
2018-07-16,22597.349609375,22692.859375,22451.922100008815,22316.51953125,22269.528601951595,-1,0.0,-0.0
2018-07-17,22697.359375,22832.220703125,22671.061250719988,22575.419921875,22494.716788415895,-1,0.00442572989106238,-0.00442572989106238
